id,original,reversed
1,erah,hare
2,arah,hara
3,harom,morah
4,hari,irah
5,kul,luk
6,arom,mora
7,monzo,oznom
8,dem,med
9,dan,nad
10,gorko,okrog
11,moriš,širom
12,ajat,taja
13,ajal,laja
14,ajam,maja
15,ajamo,omaja
16,akal,laka
17,akam,maka
18,akata,ataka
19,akamo,omaka
20,akaj,jaka
21,boj,job
22,bil,lib
23,niso,osin
24,boš,šob
25,neboš,šoben
26,bokaj,jakob
27,bolim,milob
28,cikamo,omakic
29,cimiš,šimic
30,cinil,linic
31,cinim,minic
32,matič,čitam
33,cukam,makuc
34,luč,čul
35,dej,jed
36,davil,livad
37,deš,šed
38,del,led
39,eksal,laske
40,eksam,maske
41,gnal,lang
42,gnij,jing
43,habil,libah
44,habiš,šibah
45,hiral,larih
46,arih,hira
47,hiraj,jarih
48,hitel,letih
49,hitim,mitih
50,hitiš,šitih
51,hupal,lapuh
52,algi,igla
53,igral,largi
54,igram,margi
55,igraš,šargi
56,imel,lemi
57,imam,mami
58,mamin,nimam
59,amin,nima
60,atami,imata
61,imamo,omami
62,etamin,nimate
63,iskal,laksi
64,erg,gre
65,avizi,iziva
66,jačajo,ojačaj
67,jaham,mahaj
68,jašem,mešaj
69,javiš,šivaj
70,jem,mej
71,jemo,omej
72,jedo,odej
73,jejo,ojej
74,jokat,takoj
75,kakam,makak
76,arak,kara
77,izak,kazi
78,kesal,lasek
79,japok,kopaj
80,juk,kuj
81,ilirk,krili
82,lajat,tajal
83,lajam,majal
84,lajamo,omajal
85,lazil,lizal
86,leč,čel
87,lepet,tepel
88,lezem,mezel
89,limam,mamil
90,amil,lima
91,limamo,omamil
92,lijem,mejil
93,lijemo,omejil
94,atol,lota
95,majat,tajam
96,majem,mejam
97,majamo,omajam
98,malaš,šalam
99,laram,maral
100,aram,mara
101,maramo,omaram
102,larisam,masiral
103,marisam,masiram
104,mašim,mišam
105,martam,matram
106,lazam,mazal
107,alijem,mejila
108,ilijem,mejili
109,elijem,mejile
110,ijem,meji
111,atijem,mejita
112,ejem,meje
113,elinem,menile
114,menim,minem
115,meniš,šinem
116,etinem,menite
117,menjat,tajnem
118,mešaš,šašem
119,edem,mede
120,metemo,ometem
121,mečemo,omečem
122,met,tem
123,lem,mel
124,manem,menam
125,atenam,maneta
126,atam,mata
127,mamo,omam
128,jakim,mikaj
129,miliš,šilim
130,milimo,omilim
131,larinim,miniral
132,marinim,miniram
133,arinim,minira
134,elinim,minile
135,enim,mine
136,minemo,omenim
137,etinim,minite
138,miriš,širim
139,aterom,moreta
140,lakom,mokal
141,makom,mokam
142,jakom,mokaj
143,mirkom,mokrim
144,alelom,molela
145,milom,molim
146,moliš,šilom
147,etilom,molite
148,larom,moral
149,mirom,morim
150,latom,motal
151,matom,motam
152,atom,mota
153,etatom,motate
154,jatom,motaj
155,mitom,motim
156,motiš,šitom
157,mirtom,motrim
158,irtom,motri
159,irm,mri
160,lipan,napil
161,laviran,narival
162,lahen,nehal
163,nehamo,omahen
164,nemet,temen
165,imen,nemi
166,lesen,nesel
167,neslo,olsen
168,mesen,nesem
169,esen,nese
170,neso,osen
171,eliten,netile
172,aličin,ničila
173,itison,nositi
174,alison,nosila
175,libo,obil
176,albo,obla
177,milobo,obolim
178,ingo,ogni
179,okoriš,široko
180,juko,okuj
181,okrešeš,šešerko
182,agamo,omaga
183,omajat,tajamo
184,omečit,tičemo
185,omeniš,šinemo
186,lemo,omel
187,omiliš,šilimo
188,opeč,čepo
189,lepo,opel
190,lipo,opil
191,opreš,šerpo
192,laro,oral
193,liro,oril
194,miro,orim
195,iro,ori
196,lariso,osiral
197,mariso,osiram
198,oteč,četo
199,maketo,otekam
200,leto,otel
201,lepoto,otopel
202,majavo,ovajam
203,evo,ove
204,ovešaš,šaševo
205,jaševo,ovešaj
206,olivo,ovilo
207,lahovo,ovohal
208,alahovo,ovohala
209,mažo,ožam
210,etažo,ožate
211,omerzo,ozremo
212,peč,čep
213,lep,pel
214,jop,poj
215,lip,pil
216,apokop,pokopa
217,lesar,rasel
218,mesar,rasem
219,mizar,razim
220,reč,čer
221,lider,redil
222,amir,rima
223,lir,ril
224,lapor,ropal
225,jur,ruj
226,tiraš,šarit
227,miles,selim
228,lapis,sipal
229,iris,siri
230,alpos,sopla
231,elips,spile
232,lars,sral
233,teč,čet
234,laket,tekal
235,maket,tekam
236,milet,telim
237,tepeš,šepet
238,akt,tka
239,ikt,tki
240,enot,tone
241,insert,tresni
242,irt,tri
243,aliču,učila
244,iliču,učili
245,langu,ugnal
246,eju,uje
247,omeju,ujemo
248,leju,ujel
249,ukrešeš,šešerku
250,uleč,čelu
251,jimu,umij
252,olsenu,uneslo
253,esenu,unese
254,lapu,upal
255,upreš,šerpu
256,miru,urim
257,lapisu,usipal
258,larsu,usral
259,irtu,utri
260,laježu,užejal
261,averzu,uzreva
262,omerzu,uzremo
263,agav,vaga
264,ojev,vejo
265,majev,vejam
266,ajev,veja
267,lijev,vejil
268,alijev,vejila
269,ilijev,vejili
270,elijev,vejile
271,ijev,veji
272,atijev,vejita
273,lev,vel
274,ejev,veje
275,omejev,vejemo
276,arhiv,vihra
277,liv,vil
278,oliv,vilo
279,lahov,vohal
280,alahov,vohala
281,mahov,voham
282,vohaš,šahov
283,atilov,volita
284,etilov,volite
285,vonjaš,šajnov
286,laksov,voskal
287,maksov,voskam
288,avizov,voziva
289,amilaz,zalima
290,lipaz,zapil
291,lajež,žejal
292,averz,zreva
293,omerz,zremo
294,cli,ilc
295,dcl,lcd
296,eden,nede
297,enem,mene
298,ane,ena
299,enoj,jone
300,enojnim,minjone
301,ccm,mcc
302,meso,osem
303,otep,peto
304,akna,anka
305,itak,kati
306,jan,naj
307,kan,nak
308,alb,bla
309,hej,jeh
310,kat,tak
311,kit,tik
312,anikin,nikina
313,anin,nina
314,aninim,minina
315,bog,gob
316,bos,sob
317,ilič,čili
318,milič,čilim
319,alič,čila
320,dajan,najad
321,doren,nerod
322,drag,gard
323,endogen,negodne
324,enorok,korone
325,antone,enotna
326,anite,etina
327,garden,nedrag
328,gol,log
329,hanin,ninah
330,hitečo,očetih
331,hitri,irtih
332,hitrim,mirtih
333,duh,hud
334,izin,nizi
335,jak,kaj
336,jar,raj
337,kopan,napok
338,apel,lepa
339,intel,letni
340,litem,metil
341,etil,lite
342,hinijam,majinih
343,analam,malana
344,malim,milam
345,elam,male
346,manin,ninam
347,mašin,nišam
348,inčem,mečni
349,enigem,megine
350,mereč,čerem
351,miniran,narinim
352,andom,modna
353,moder,redom
354,moderen,neredom
355,moker,rekom
356,merkom,mokrem
357,arkom,mokra
358,moleč,čelom
359,akslom,molska
360,monin,ninom
361,motečo,očetom
362,moten,netom
363,motan,natom
364,agentom,motnega
365,krm,mrk
366,megan,nagem
367,legan,nagel
368,nakopan,napokan
369,nasipen,nepisan
370,leben,nebel
371,nejaven,nevajen
372,men,nem
373,amen,nema
374,himen,nemih
375,neraven,nevaren
376,nor,ron
377,anton,notna
378,odrt,trdo
379,napoko,okopan
380,anatemo,ometana
381,andoro,orodna
382,nežo,ožen
383,nasip,pisan
384,invar,ravni
385,redeč,čeder
386,neder,reden
387,mas,sam
388,tekoč,čoket
389,hit,tih
390,got,tog
391,pot,top
392,lepot,topel
393,jut,tuj
394,inču,učni
395,metelku,ukletem
396,metilu,ulitem
397,etilu,ulite
398,anžetu,utežna
399,levu,uvel
400,narav,varan
401,inčev,večni
402,aktiv,vitka
403,andov,vodna
404,letov,votel
405,altov,votla
406,laz,zal
407,metež,žetem
408,daleč,čelad
409,danes,senad
410,gor,rog
411,kam,mak
412,kar,rak
413,epik,kipe
414,dok,kod
415,kos,sok
416,lam,mal
417,emam,mame
418,mar,ram
419,jaken,nekaj
420,eten,nete
421,nič,čin
422,lop,pol
423,metop,potem
424,dar,rad
425,odar,rado
426,res,ser
427,ruš,šur
428,mat,tam
429,dot,tod
430,nev,ven
431,laž,žal
432,namaz,zaman
433,ajem,meja
434,aji,ija
435,aje,eja
436,ade,eda
437,adi,ida
438,ado,oda
439,adel,leda
440,ader,reda
441,adute,etuda
442,afiks,skifa
443,age,ega
444,agi,iga
445,agam,maga
446,agens,snega
447,ajbiš,šibja
448,ajd,dja
449,ajk,kja
450,ajšo,ošja
451,ajš,šja
452,akalif,filaka
453,aker,reka
454,akra,arka
455,akne,enka
456,aknah,hanka
457,aknam,manka
458,akrili,ilirka
459,aksel,leska
460,akson,noska
461,akta,atka
462,aktom,motka
463,aktin,nitka
464,aktivo,ovitka
465,alah,hala
466,alain,niala
467,alana,anala
468,alanom,monala
469,alanoma,amonala
470,aldom,modla
471,alej,jela
472,algo,ogla
473,alide,edila
474,alidi,idila
475,alid,dila
476,alj,jla
477,alko,okla
478,alois,siola
479,amater,retama
480,amata,atama
481,amati,itama
482,amid,dima
483,amij,jima
484,amok,koma
485,amonal,lanoma
486,amonalom,molanoma
487,amonij,jinoma
488,amonitih,hitinoma
489,amoral,laroma
490,amoreta,ateroma
491,amorfo,ofroma
492,amur,ruma
493,anah,hana
494,anam,mana
495,anale,elana
496,anal,lana
497,analom,molana
498,anan,nana
499,anatem,metana
500,anic,cina
501,anik,kina
502,anjam,majna
503,anko,okna
504,anni,inna
505,annam,manna
506,anod,dona
507,anodam,madona
508,anon,nona
509,ante,etna
510,apih,hipa
511,ari,ira
512,are,era
513,aravan,navara
514,arhom,mohra
515,arko,okra
516,arki,ikra
517,ase,esa
518,ašram,marša
519,ate,eta
520,ati,ita
521,ato,ota
522,atih,hita
523,atak,kata
524,atki,ikta
525,aten,neta
526,atlas,salta
527,atrap,parta
528,aval,lava
529,avlah,halva
530,avto,otva
531,azil,liza
532,azol,loza
533,bar,rab
534,bas,sab
535,ben,neb
536,big,gib
537,bih,hib
538,boks,skob
539,bol,lob
540,bon,nob
541,bor,rob
542,borbo,obrob
543,bord,drob
544,broč,čorb
545,buh,hub
546,burek,kerub
547,dač,čad
548,caf,fac
549,mejač,čajem
550,cap,pac
551,car,rac
552,rač,čar
553,ceh,hec
554,cekar,rakec
555,celinec,cenilec
556,cen,nec
557,ceri,irec
558,cetis,sitec
559,cevarki,ikravec
560,krečič,čičerk
561,cigan,nagic
562,kič,čik
563,cilko,oklic
564,cilk,klic
565,cim,mic
566,cimam,mamic
567,cimer,remic
568,cimos,somic
569,cinom,monic
570,cinam,manic
571,lenič,činel
572,cipo,opic
573,cip,pic
574,ciper,repic
575,citam,matic
576,cizej,jezic
577,cmer,remc
578,hoč,čoh
579,koč,čok
580,poč,čop
581,obroč,čorbo
582,krč,črk
583,puč,čup
584,dag,gad
585,damah,hamad
586,damon,nomad
587,dijan,najid
588,dim,mid
589,dir,rid
590,disko,oksid
591,dnom,mond
592,dobo,obod
593,dog,god
594,dom,mod
595,dor,rod
596,dual,laud
597,dur,rud
598,eji,ije
599,edi,ide
600,edo,ode
601,eder,rede
602,edom,mode
603,egom,moge
604,egi,ige
605,egon,noge
606,ekar,rake
607,ekipe,epike
608,ekip,pike
609,ekotop,potoke
610,elah,hale
611,elanom,monale
612,eles,sele
613,elinam,manile
614,elis,sile
615,elite,etile
616,ellah,halle
617,emi,ime
618,emo,ome
619,emah,hame
620,emami,imame
621,email,liame
622,emil,lime
623,emir,rime
624,enačbo,občane
625,enes,sene
626,enese,esene
627,enoki,ikone
628,enoto,otone
629,enotek,ketone
630,eon,noe
631,epih,hipe
632,epoh,hope
633,eri,ire
634,eram,mare
635,ergi,igre
636,eser,rese
637,eskarp,prakse
638,eti,ite
639,eto,ote
640,etapo,opate
641,etap,pate
642,etenom,monete
643,eter,rete
644,etri,irte
645,etik,kite
646,etol,lote
647,etolog,golote
648,evi,ive
649,fes,sef
650,fiks,skif
